//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=====================File config Drop Item Sever===================
//=====================Không Biết Config Liên Hệ Người Bán sever Để Được Hỗ Trợ Nhé !
//=================================================================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Purple Mistery Box"		1000		100				1				0					1				0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
12		124		0          0          0				0		0		0	          0        100      
12		124		1          1          0				0		0		0	          0        100      
12		124		2          2          0				0		0		0	          0        100      
12		124		3          3          0				0		0		0	          0        100      
12		124		4          4          0				0		0		0	          0        100      
12		124		5          5          0				0		0		0	          0        100      
12		125		0          0          0				0		0		0	          0        100      
12		125		1          1          0				0		0		0	          0        100      
12		125		2          2          0				0		0		0	          0        100      
12		125		3          3          0				0		0		0	          0        70      
12		125		4          4          0				0		0		0	          0        100      
12		126		0          0          0				0		0		0	          0        100      
12		126		1          1          0				0		0		0	          0        100      
12		126		2          2          0				0		0		0	          0        100      
12		126		3          3          0				0		0		0	          0        100      
12		126		4          4          0				0		0		0	          0        100      
12		127		0          0          0				0		0		0	          0        100      
12		127		1          1          0				0		0		0	          0        100      
12		127		2          2          0				0		0		0	          0        100      
12		127		3          3          0				0		0		0	          0        100      
12		127		4          4          0				0		0		0	          0        100      
12		128		0          0          0				0		0		0	          0        100      
12		128		1          1          0				0		0		0	          0        100      
12		128		2          2          0				0		0		0	          0        100      
12		128		3          3          0				0		0		0	          0        100      
12		129		2          2          0				0		0		0	          0        100      
  


end







