//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Group	Index	Level	Dur		Skill	Luck	Option	ExcOpt	Anc		JoH		Oex		Socket1	Socket2	Socket3	Socket4	Socket5	ItemName
// Vũ khí tân thủ: đồ +0, không Excellent/Ancient/Socket.
0	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Chùy Thủ
0	1	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Đoản Đao
0	2	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Trường Kiếm
0	4	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Đao Sát Thủ
1	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Rìu Nhỏ
2	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Chùy
3	2	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Thương
5	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Gậy Xương
5	1	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Gậy Tiên
5	14	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Gậy Phép Thuật
2	8	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Trượng Chiến
4	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Cung Nhỏ
4	8	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Nỏ
4	15	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Tên Cung
4	7	0	0	0	0	0	0	0	0	0	255	255	255	255	255	// Tên Nỏ
end
