//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//MinLevel   MaxLevel   MinMasterLevel   MaxMasterLevel   MinReset   MaxReset   MinMasterReset   MaxMasterReset   ExperienceRate   MoneyRate
// Rate nhan voi exp/zen server. 100 = khong doi.
// 0-100: day RS nhanh + zen nhieu. RS cao zen giam. Map master (section 1) zen cao lai.
0
1	400	-1	-1	0	100	-1	-1	800	800
1	400	-1	-1	101	150	-1	-1	550	400
1	400	-1	-1	151	190	-1	-1	380	200
1	400	-1	-1	191	200	-1	-1	250	80
end

1
37	800
38	800
39	800
57	800
58	800
63	800
80	800
81	800
82	800
83	800
84	800
85	800
87	800
89	800
90	800
end
