09:03:56 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
09:09:59 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
09:43:38 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
09:51:34 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
09:52:41 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
10:16:59 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
10:43:18 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
10:45:34 Lỗi: Tài khoản không tồn tại (Tài khoản: 11, Mật khẩu: 11, IP: 192.168.1.7)
10:45:34 Tài khoản mới đã được tạo. (Tài khoản: 11, Mật khẩu: 11, IP: 192.168.1.7)
10:45:36 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
10:46:23 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
10:46:57 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
11:00:46 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
11:09:43 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
11:15:27 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
11:21:35 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
11:21:42 Lỗi: Tài khoản không tồn tại (Tài khoản: , Mật khẩu: , IP: 7.115.5.202)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot, IP: 72.145.15.159, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 17.215.16.115, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot10, IP: 205.138.125.60, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot11, IP: 17.67.164.7, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot12, IP: 177.120.142.74, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot13, IP: 55.239.74.114, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot14, IP: 244.196.229.237, Nhóm Sub: 0)
11:21:42 Tài khoản vừa đăng nhập. (Tài khoản: bot15, IP: 80.177.138.234, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot16, IP: 16.46.118.52, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot17, IP: 13.224.32.44, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot18, IP: 217.103.211.85, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot19, IP: 183.188.234.65, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot2, IP: 149.91.102.78, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot20, IP: 2.64.28.116, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot21, IP: 172.130.173.191, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot22, IP: 77.121.62.88, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot23, IP: 46.185.219.94, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot24, IP: 63.229.4.210, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot25, IP: 41.128.201.26, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot26, IP: 218.50.96.16, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot27, IP: 143.145.196.83, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot28, IP: 14.216.56.70, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot29, IP: 227.2.53.124, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot3, IP: 26.29.32.10, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot30, IP: 246.239.210.204, Nhóm Sub: 0)
11:21:43 Tài khoản vừa đăng nhập. (Tài khoản: bot31, IP: 153.72.40.219, Nhóm Sub: 0)
