20:47:20 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
20:53:42 [AccountInfo] Account disconnected by clear (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
20:54:45 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
20:55:03 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
20:59:45 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
20:59:48 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
21:00:01 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
21:00:05 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
21:02:00 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
21:02:12 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
21:04:13 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
21:04:25 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
21:06:35 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
21:28:40 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
21:35:35 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
21:39:39 [AccountInfo] Account disconnected by clear (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
21:40:13 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
21:41:01 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
21:56:45 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
21:58:44 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:04:20 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:04:22 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:05:28 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:05:45 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:07:27 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:07:31 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:13:20 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:15:09 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:15:45 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:15:54 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:16:38 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:16:53 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:17:18 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:21:20 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:22:29 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:23:29 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:27:32 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:27:48 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:28:15 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:28:29 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:28:47 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:28:56 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:29:20 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:30:41 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:37:15 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:37:44 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:38:19 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:38:45 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:39:03 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:44:45 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:45:02 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:45:24 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:46:16 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
22:46:33 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
22:46:59 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:05:30 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:05:43 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:05:53 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:07:44 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:07:52 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:08:17 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:08:37 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:08:57 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:09:19 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:10:44 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:11:43 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:14:34 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:20:25 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:22:02 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:24:24 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:24:56 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:25:36 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:26:10 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:28:18 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:29:13 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:29:33 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:29:41 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:29:51 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:29:53 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:29:58 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:30:03 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:30:27 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:30:33 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:30:46 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:30:48 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:31:15 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:31:20 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:31:31 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:31:36 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:31:43 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:31:48 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:32:20 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:32:38 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:35:50 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
23:36:04 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
23:36:43 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
