16:51:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
16:53:25 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
17:15:17 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
17:17:55 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
17:18:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
17:29:07 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
17:34:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
17:37:33 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
18:59:35 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
19:00:20 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
19:10:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
19:24:25 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
19:30:25 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
19:30:45 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
20:11:14 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
20:17:17 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
20:22:04 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
20:22:28 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
20:23:23 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
20:36:19 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
20:39:52 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
20:40:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
20:41:02 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
20:44:19 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
