00:00:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:15:21 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:50:00 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
03:52:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
04:18:12 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
04:55:28 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
04:58:02 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
05:02:08 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
05:02:24 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
05:02:35 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
05:04:07 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
05:06:21 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
05:06:57 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
05:20:13 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
07:47:23 Lỗi: Tài khoản không tồn tại (Tài khoản: 123123, Mật khẩu: 123123, IP: 192.168.1.11)
07:47:23 Tài khoản mới đã được tạo. (Tài khoản: 123123, Mật khẩu: 123123, IP: 192.168.1.11)
07:47:26 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
08:05:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
08:34:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:06:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
09:07:08 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:21:03 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
09:22:32 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:35:50 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
09:35:58 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:37:17 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
09:38:16 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:38:47 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
09:40:02 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:42:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
09:57:50 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
09:57:57 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
10:18:57 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
10:20:50 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
10:20:59 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
10:21:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
10:21:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.11, Nhóm Sub: 0)
10:22:03 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.11, GameServerCode: 0)
