00:02:51 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:03:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:05:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:06:22 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:06:39 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:06:49 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:07:05 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:08:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:09:21 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:09:38 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:10:06 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:14:14 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:14:33 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:16:32 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:16:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:18:56 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:19:01 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
00:38:42 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
00:38:43 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:24:30 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
01:24:34 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
01:24:38 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:50:23 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:50:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
09:53:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
09:54:22 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
09:54:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
09:58:19 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
09:59:00 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:03:29 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
10:05:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:07:11 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
10:07:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:08:50 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
10:11:47 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:12:29 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
10:15:42 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
10:16:23 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
