00:00:33 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:01:00 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:01:08 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:01:24 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:05:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:07:26 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:07:40 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:08:52 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:10:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:11:03 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:22:45 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:25:03 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:42:05 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:42:25 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:43:26 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
00:43:56 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
00:59:43 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:00:25 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:08:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:17:34 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:22:11 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:23:15 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:27:03 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:27:28 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:27:34 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:30:33 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:30:39 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:36:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:40:26 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:40:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:42:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:44:55 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:45:20 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:46:05 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:46:56 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:47:14 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:50:11 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:51:18 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:53:06 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:55:41 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
01:56:07 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:32:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:32:41 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:32:45 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:34:28 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:34:35 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:41:35 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:41:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:54:40 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:55:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:55:51 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:56:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:59:31 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:00:09 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:00:16 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:00:59 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:03:17 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:07:07 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:09:32 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:10:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:15:44 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:15:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:16:58 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:17:02 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:19:26 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:28:27 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
03:28:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
03:29:11 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
13:16:13 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:12:25 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:14:33 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:15:44 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:25:29 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:57:06 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:42:07 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:42:39 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
16:39:56 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
