14:06:27 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:39:14 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:41:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:51:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:54:37 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:54:51 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:55:15 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:55:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:56:00 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:56:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:57:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:58:49 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:59:18 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:02:27 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:02:56 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:03:30 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:06:20 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:09:35 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:09:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:13:05 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:13:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:19:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:19:44 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:29:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:36:00 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:36:15 Tài khoản vừa đăng nhập. (Tài khoản: 123123, IP: 192.168.1.6, Nhóm Sub: 0)
15:36:33 [AccountInfo] Account disconnected (Account: 123123, IpAddress: 192.168.1.6, GameServerCode: 0)
15:36:58 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
15:37:11 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
15:53:42 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
16:31:57 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
16:32:19 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
16:35:15 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
17:18:26 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
17:19:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
17:24:26 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
17:24:48 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
17:30:54 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
17:31:06 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
17:36:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
17:36:58 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
17:37:12 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
17:37:29 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
17:46:57 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
17:51:22 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
18:04:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
18:10:21 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
18:16:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
18:17:05 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
18:47:13 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
18:50:31 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
18:50:50 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
18:51:37 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
18:55:14 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
18:55:44 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:07:09 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:07:55 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:30:47 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:52:16 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:52:33 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:52:40 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:52:44 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:55:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:55:59 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:56:19 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:56:24 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:56:27 Tài khoản vừa đăng nhập. (Tài khoản: 123123, IP: 192.168.1.6, Nhóm Sub: 0)
19:56:37 [AccountInfo] Account disconnected (Account: 123123, IpAddress: 192.168.1.6, GameServerCode: 0)
19:58:38 Tài khoản vừa đăng nhập. (Tài khoản: 123123, IP: 192.168.1.6, Nhóm Sub: 0)
19:59:00 [AccountInfo] Account disconnected (Account: 123123, IpAddress: 192.168.1.6, GameServerCode: 0)
20:07:08 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:08:04 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:15:02 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:15:09 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:15:15 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:15:18 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:29:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:33:21 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:38:39 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:38:59 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
