00:04:47 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:09:08 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:10:57 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:11:24 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:17:40 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:18:43 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:19:06 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:20:28 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:23:07 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:23:24 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:36:20 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:44:07 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:44:31 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:45:14 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:46:00 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:46:41 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:47:30 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:47:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:47:43 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:50:43 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:51:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:51:23 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
00:54:29 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:54:29 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
00:54:44 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
00:54:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:55:19 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:55:20 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
00:56:38 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:57:03 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
00:59:04 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
00:59:05 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:00:55 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:02:04 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:02:41 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:04:54 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:05:24 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:06:47 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
