00:00:03 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:00:06 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:00:49 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:03:32 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:04:03 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:05:44 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:05:55 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:06:08 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:07:09 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:07:27 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:07:39 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:08:13 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:08:31 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:08:50 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:09:53 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:10:06 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:10:35 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:11:09 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:11:23 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:16:55 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:17:36 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:18:25 Tài khoản vừa đăng nhập. (Tài khoản: 22, IP: 192.168.1.7, Nhóm Sub: 0)
00:19:11 [AccountInfo] Account disconnected (Account: 22, IpAddress: 192.168.1.7, GameServerCode: 0)
00:19:12 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:19:22 Tài khoản vừa đăng nhập. (Tài khoản: 22, IP: 192.168.1.7, Nhóm Sub: 0)
00:19:26 [AccountInfo] Account disconnected (Account: 22, IpAddress: 192.168.1.7, GameServerCode: 0)
00:19:29 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:21:14 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:30:01 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
00:40:27 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
00:47:09 Tài khoản vừa đăng nhập. (Tài khoản: 11, IP: 192.168.1.7, Nhóm Sub: 0)
15:11:54 [AccountInfo] Account disconnected (Account: 11, IpAddress: 192.168.1.7, GameServerCode: 0)
15:15:10 Lỗi: Tài khoản không tồn tại (Tài khoản: bot1, Mật khẩu: 1231231, IP: 192.168.1.7)
15:15:10 Tài khoản mới đã được tạo. (Tài khoản: bot1, Mật khẩu: 1231231, IP: 192.168.1.7)
15:15:12 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
15:19:00 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
15:19:07 Lỗi: Tài khoản không tồn tại (Tài khoản: bot4, Mật khẩu: 1231231, IP: 192.168.1.7)
15:19:07 Tài khoản mới đã được tạo. (Tài khoản: bot4, Mật khẩu: 1231231, IP: 192.168.1.7)
15:19:08 Tài khoản vừa đăng nhập. (Tài khoản: bot4, IP: 192.168.1.7, Nhóm Sub: 0)
15:27:18 [AccountInfo] Account disconnected (Account: bot4, IpAddress: 192.168.1.7, GameServerCode: 0)
15:27:33 Lỗi: Tài khoản không tồn tại (Tài khoản: bot2, Mật khẩu: 123123, IP: 192.168.1.7)
15:27:33 Tài khoản mới đã được tạo. (Tài khoản: bot2, Mật khẩu: 123123, IP: 192.168.1.7)
15:27:41 Tài khoản vừa đăng nhập. (Tài khoản: bot2, IP: 192.168.1.7, Nhóm Sub: 0)
15:27:53 [AccountInfo] Account disconnected (Account: bot2, IpAddress: 192.168.1.7, GameServerCode: 0)
15:30:45 Tài khoản vừa đăng nhập. (Tài khoản: bot2, IP: 192.168.1.7, Nhóm Sub: 0)
15:31:12 [AccountInfo] Account disconnected (Account: bot2, IpAddress: 192.168.1.7, GameServerCode: 0)
15:31:47 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
15:31:50 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
15:32:06 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
15:32:49 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
15:33:03 Tài khoản vừa đăng nhập. (Tài khoản: bot2, IP: 192.168.1.7, Nhóm Sub: 0)
15:33:06 [AccountInfo] Account disconnected (Account: bot2, IpAddress: 192.168.1.7, GameServerCode: 0)
15:33:45 Lỗi: Tài khoản không tồn tại (Tài khoản: bot1, Mật khẩu: 1231231, IP: 192.168.1.7)
15:33:45 Tài khoản mới đã được tạo. (Tài khoản: bot1, Mật khẩu: 1231231, IP: 192.168.1.7)
15:33:46 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
15:33:53 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
15:34:08 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 192.168.1.7, Nhóm Sub: 0)
15:34:55 [AccountInfo] Account disconnected (Account: bot1, IpAddress: 192.168.1.7, GameServerCode: 0)
15:34:58 Lỗi: Tài khoản không tồn tại (Tài khoản: bot2, Mật khẩu: 1231231, IP: 192.168.1.7)
15:34:58 Tài khoản mới đã được tạo. (Tài khoản: bot2, Mật khẩu: 1231231, IP: 192.168.1.7)
15:35:01 Tài khoản vừa đăng nhập. (Tài khoản: bot2, IP: 192.168.1.7, Nhóm Sub: 0)
15:35:54 [AccountInfo] Account disconnected (Account: bot2, IpAddress: 192.168.1.7, GameServerCode: 0)
