01:39:26 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
01:42:45 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:35:42 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
02:36:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
02:37:54 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
13:41:28 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
14:09:54 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
14:17:26 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
16:54:51 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:09:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:57:18 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
19:58:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
19:58:38 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:02:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:03:01 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:03:09 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:13:02 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
20:23:53 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
20:49:32 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:10:21 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:12:41 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:16:31 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:16:52 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:17:00 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:17:27 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:17:51 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:18:15 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:22:23 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:28:59 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:29:05 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:29:28 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:29:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:33:22 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:33:59 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:34:50 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:36:26 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:42:24 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:44:07 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:44:14 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:45:57 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:46:13 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
21:53:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
21:53:50 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
22:02:16 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
22:03:29 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
22:03:54 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
22:39:54 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
23:31:12 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
23:45:17 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
23:45:49 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
23:47:54 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
23:48:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
23:48:55 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
23:49:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
23:53:48 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.6, Nhóm Sub: 0)
23:54:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.6, GameServerCode: 0)
