//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=================================================================================================================
//Index	Name	Damage	Mana	BP	Dis	Delay	Ene	Cmd	Attr	Type	UseType	Brand	KillCnt	St1	St2	St3	DW	DK	FE	MG	DL	SUM	RF	STUnk1	STUnk2	STUnk3	STUnk4	STUnk5	STUnk6	STUnk7	STUnk8	STUnk9	STUnk10
1	"Độc"	30	12	42	0	6	0	100	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	2
2	"Lôi thạch"	21	21	12	0	6	0	100	0	4	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2
3	"Sấm sét"	13	17	15	0	6	0	100	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
4	"Quả cầu lửa"	5	8	3	0	6	0	100	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2
5	"Cột lửa"	35	25	50	0	6	0	100	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
6	"Dịch chuyển tức thời"	17	0	30	0	6	0	100	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7	"Băng công"	25	10	38	0	6	0	100	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	2
8	"Lốc xoáy"	40	35	60	0	6	0	100	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
9	"Linh hồn"	50	45	90	0	6	0	100	0	-1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
10	"Lửa địa ngục"	60	120	160	0	0	0	100	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
11	"Sóng năng lượng"	9	14	5	0	6	0	100	0	-1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2
12	"Lượng nước xoáy"	74	80	140	0	6	0	110	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
13	"Mưa sao băng"	30	70	150	0	5	0	150	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
14	"Vòng tròn lửa"	88	100	200	0	0	0	200	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
15	"Dịch chuyển đồng đội"	83	0	90	25	6	0	188	0	-1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
16	"Năng lượng hộ thể"	77	0	70	22	6	0	126	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
